Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Aaron Judge,NYY,158,704,58,122,144,10,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.4757340011100992,0.479,218.4253797567829,-0.437979139387607,94.95645859745338,-9.87629413604736,11.210629612100638,Aaron Judge,15640,592450
Bobby Witt Jr.,KCR,161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.4097383537462779,0.407,167.5403466440698,4.527373559772968,59.31911803378616,17.52898120880127,10.377654693089845,Bobby Witt Jr.,25764,677951
Shohei Ohtani,LAD,159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.4305492917641291,0.442,181.1541443950144,9.750306464731691,80.69000926878677,-17.1759243011474,9.073683448972323,Shohei Ohtani,19755,660271
Juan Soto,NYY,157,713,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.4205848819428188,0.462,179.6323630976572,-3.82476154714822,61.14103098514664,-6.0891820192337,8.140358720282777,Juan Soto,20123,665742
Gunnar Henderson,BAL,159,719,37,118,92,21,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.3814647619438702,0.374,154.74504761804943,3.965942233800888,49.00396702307027,4.714044570922852,8.023259928795275,Gunnar Henderson,26289,683002
Francisco Lindor,NYM,152,689,33,107,91,29,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,0.3628858149657228,0.379,137.42724248761272,3.997490450739861,34.83422180214676,17.421959400177002,7.766544138847506,Francisco Lindor,12916,596019
Jarren Duran,BOS,160,735,21,111,75,34,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.3568673902286514,0.342,129.02292667113866,8.364949248731136,32.7730592004383,7.921176195144653,6.7332789694996205,Jarren Duran,24617,680776
José Ramírez,CLE,158,682,39,114,118,41,0.079178885,0.120234604,0.258064516,0.265346534,0.279032258,0.334801762,0.537096774,0.3642762730118049,0.329,141.27336308298348,6.306069985032082,38.5137794567506,1.3195178508758545,6.461893920474574,Jose Ramirez,13510,608070
Elly De La Cruz,CIN,160,696,25,105,76,67,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.3486482402837345,0.328,117.85621503824532,7.479994058609009,22.341401171375864,16.737037181854248,6.429651537864672,Elly De La Cruz,26668,682829
Ketel Marte,ARI,136,583,36,93,95,7,0.111492281,0.181818181,0.267857143,0.299191374,0.291666666,0.372212692,0.559523809,0.3909995480337077,0.392,151.20131715041614,0.9218361601233482,36.61713091071001,4.777853846549988,6.280263754420148,Ketel Marte,13613,606466
Vladimir Guerrero Jr.,TOR,159,697,30,98,103,2,0.103299856,0.137733142,0.22077922,0.342105263,0.323051948,0.395982783,0.543831168,0.3978902227687139,0.408,165.02279452706466,-5.55921953171491,46.29737776113322,-16.6791334152221,5.458548702783041,Vladimir Guerrero Jr.,19611,665489
Matt Chapman,SFG,154,647,27,98,78,15,0.098918083,0.244204018,0.215652174,0.293367346,0.246956521,0.327666151,0.462608695,0.3401357669452702,0.341,120.56826390869956,3.7187548503279686,19.632162975069804,11.609312772750854,5.451744502230975,Matt Chapman,16505,656305
William Contreras,MIL,155,679,23,99,92,9,0.114874815,0.204712812,0.18487395,0.330275229,0.280672268,0.365243004,0.465546218,0.3587271837346278,0.358,130.742438133437,-2.60093242675066,22.360492092205163,7.644051611423492,5.434053021877569,William Contreras,20503,661388
Cal Raleigh,SEA,153,628,34,73,100,6,0.111464968,0.280254777,0.216117216,0.251461988,0.219780219,0.31210191,0.435897435,0.3225664181204942,0.346,117.06993573317554,-2.57280234992504,9.693033183535404,21.839559078216556,5.418703814057507,Cal Raleigh,21534,663728
Jackson Merrill,SDP,156,593,24,77,90,16,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.372,129.9322099362613,3.729309692978859,24.95465480375193,6.497332572937012,5.287766076171051,Jackson Merrill,29490,701538
Yordan Alvarez,HOU,147,635,35,88,86,6,0.108661417,0.149606299,0.259057971,0.316901408,0.307971014,0.392125984,0.567028985,0.4015873697539716,0.411,167.82060649985647,-2.88181222975254,46.39481809593951,-16.6375188827514,5.259455299893315,Yordan Alvarez,19556,670541
Bryce Harper,PHI,145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.380217063407713,0.357,144.98917770401317,-0.457481160759925,33.489307682797815,-4.28172159194946,5.186660969815826,Bryce Harper,11579,547180
Brent Rooker,OAK,145,614,39,82,112,11,0.096091205,0.288273615,0.269230769,0.362275449,0.293040293,0.364820846,0.562271062,0.3921844166810395,0.38,163.63141597278016,0.8240863010287285,45.52800206599355,-16.5878188610076,5.102766250026639,Brent Rooker,19627,667670
Willy Adames,MIL,161,688,32,93,112,21,0.107558139,0.251453488,0.211475409,0.296568627,0.250819672,0.331395348,0.462295081,0.3419318153910393,0.339,119.43800398037838,1.234154373407364,17.22610312434632,5.927154064178467,4.757420970703194,Willy Adames,15986,642715
Marcell Ozuna,ATL,162,688,39,96,104,1,0.107558139,0.247093023,0.244224422,0.359102244,0.301980198,0.378457059,0.54620462,0.3945021333485624,0.402,154.00063286835456,-4.58506329357624,39.842098786477294,-17.5,4.67364637260416,Marcell Ozuna,10324,542303
Corey Seager,TEX,123,533,30,68,74,1,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.35272045,0.511578947,0.364663478286787,0.39,140.31980780690262,-5.20526808500289,19.38432090676027,6.842841863632202,4.543703456258817,Corey Seager,13624,608369
Mookie Betts,LAD,116,516,19,75,75,16,0.118217054,0.110465116,0.202222223,0.293650793,0.288888888,0.372093023,0.491111111,0.3709689515573969,0.356,141.05249143299704,0.5919302552938461,25.922823531073124,-0.648451328277587,4.384933629639328,Mookie Betts,13611,605141
Dansby Swanson,CHC,149,593,16,82,66,19,0.091062394,0.242833052,0.147940075,0.299734748,0.241573033,0.311973018,0.389513108,0.3065694088459821,0.321,98.5543450434368,4.442499935626984,3.417365960237471,18.936960697174072,4.348180332529557,Dansby Swanson,18314,621020
Patrick Bailey,SFG,121,448,8,46,46,4,0.087053571,0.223214285,0.104738154,0.286666666,0.234413965,0.297539149,0.339152119,0.2813692890290979,0.319,81.01439605535498,0.5004628002643585,-9.6705386273447,36.69498443603516,4.331808146014808,Patrick Bailey,27478,672275
Jurickson Profar,SDP,158,668,24,94,85,10,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.380090497,0.459219858,0.365296050431334,0.364,139.21265650053607,-0.77036490291357,30.55268279873192,-11.1204884052276,4.304333020566888,Jurickson Profar,10815,595777
Carlos Correa,MIN,86,367,14,55,54,0,0.108991825,0.166212534,0.206896552,0.342741935,0.310344827,0.387978142,0.517241379,0.3853048369370771,0.358,155.4979003072439,-0.57704372704029,22.727908879563447,6.440043926239014,4.275913899107881,Carlos Correa,14162,621043
Kyle Tucker,HOU,78,339,23,56,49,11,0.16519174,0.159292035,0.296028881,0.282178217,0.288808664,0.407738095,0.584837545,0.4188836233035938,0.4,179.98714446496393,-0.326757431030273,30.69922186625305,-1.45318841934204,4.1875790054726725,Kyle Tucker,18345,663656
Marcus Semien,TEX,159,718,23,101,74,8,0.08913649,0.146239554,0.153846154,0.250478011,0.236923076,0.307799442,0.39076923,0.3058828076337302,0.313,98.97228367035244,1.5312549993395803,0.6869423247782875,15.701434135437012,4.164497148540168,Marcus Semien,12533,543760
Steven Kwan,CLE,122,540,14,83,44,12,0.098148148,0.094444444,0.133333334,0.303614457,0.291666666,0.368029739,0.425,0.3494486094185854,0.333,130.84328170592786,0.1857345476746559,19.24297210537697,2.8382530212402344,4.139620150643063,Steven Kwan,24610,680757
Rafael Devers,BOS,138,601,28,87,83,3,0.111480865,0.244592346,0.243809524,0.323033707,0.272380952,0.354409317,0.516190476,0.3640278328013379,0.364,134.05972820492894,-0.889101788401603,22.53275155861834,-2.59413433074951,4.128348328014414,Rafael Devers,17350,646240
Alex Bregman,HOU,145,634,26,79,75,3,0.06940063,0.135646687,0.192771085,0.264270613,0.259896729,0.315457413,0.452667814,0.3307042115295856,0.319,117.95994545268115,-2.29874191433191,10.729921920285465,8.094865083694458,4.126927442921624,Alex Bregman,17678,608324
Freddie Freeman,LAD,147,638,22,81,89,9,0.122257053,0.156739811,0.193726938,0.306074766,0.282287822,0.377742946,0.47601476,0.365357109492079,0.367,137.2753370528749,-1.43414009362459,27.00415407192953,-9.04794323444366,4.048719240470431,Freddie Freeman,5361,518692
Corbin Carroll,ARI,158,684,22,121,74,35,0.106725146,0.190058479,0.196943973,0.255605381,0.23089983,0.321585903,0.427843803,0.3248603077011837,0.324,106.68507481639462,11.110288195312023,16.57822716003698,-0.253713011741638,4.038406886970951,Corbin Carroll,25878,682998
